row_id,rq,paper_mapping,item,metric,metric_label,value
rq1|Gleaner Latency-Dominant|avg_api_coverage,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner Latency-Dominant,avg_api_coverage,API coverage,0.954071969697
rq1|Gleaner Latency-Dominant|avg_path_coverage_dedup,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner Latency-Dominant,avg_path_coverage_dedup,Path coverage,0.843849854316
rq1|Gleaner Latency-Dominant|avg_unique_trace_coverage,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner Latency-Dominant,avg_unique_trace_coverage,Unique trace coverage,0.208545120004
rq1|Gleaner Latency-Dominant|avg_shannon_entropy,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner Latency-Dominant,avg_shannon_entropy,Shannon entropy,6.71674010826
rq1|Gleaner Latency-Dominant|avg_proportion_anomaly,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner Latency-Dominant,avg_proportion_anomaly,Anomaly proportion,0.126050534662
rq1|Gleaner Log-Dominant|avg_api_coverage,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner Log-Dominant,avg_api_coverage,API coverage,0.954071969697
rq1|Gleaner Log-Dominant|avg_path_coverage_dedup,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner Log-Dominant,avg_path_coverage_dedup,Path coverage,0.839216652551
rq1|Gleaner Log-Dominant|avg_unique_trace_coverage,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner Log-Dominant,avg_unique_trace_coverage,Unique trace coverage,0.209236571619
rq1|Gleaner Log-Dominant|avg_shannon_entropy,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner Log-Dominant,avg_shannon_entropy,Shannon entropy,6.72063768334
rq1|Gleaner Log-Dominant|avg_proportion_anomaly,rq1,"Paper RQ1: Sampling Quality and Diversity (Fig. 4, Fig. 5, Finding 1)",Gleaner Log-Dominant,avg_proportion_anomaly,Anomaly proportion,0.126050534662
