row_id,rq,paper_mapping,item,metric,metric_label,value
rq3|Gleaner Latency-Dominant|avg_api_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Latency-Dominant,avg_api_coverage,API coverage,0.993612365895
rq3|Gleaner Latency-Dominant|avg_unique_trace_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Latency-Dominant,avg_unique_trace_coverage,Unique trace coverage,0.214449993376
rq3|Gleaner Latency-Dominant|avg_shannon_entropy,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Latency-Dominant,avg_shannon_entropy,Shannon entropy,7.43283272318
rq3|Gleaner Latency-Dominant|avg_proportion_anomaly,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Latency-Dominant,avg_proportion_anomaly,Anomaly proportion,0.112108118666
rq3|Gleaner Latency-Dominant|avg_path_coverage_dedup,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Latency-Dominant,avg_path_coverage_dedup,Path coverage,0.892233625075
rq3|Gleaner Latency-Dominant|avg_benefit_cost_ratio,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Latency-Dominant,avg_benefit_cost_ratio,Benefit-cost ratio,0.816500963177
rq3|Gleaner Log-Dominant|avg_api_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Log-Dominant,avg_api_coverage,API coverage,0.993612365895
rq3|Gleaner Log-Dominant|avg_unique_trace_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Log-Dominant,avg_unique_trace_coverage,Unique trace coverage,0.215309199054
rq3|Gleaner Log-Dominant|avg_shannon_entropy,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Log-Dominant,avg_shannon_entropy,Shannon entropy,7.43741051554
rq3|Gleaner Log-Dominant|avg_proportion_anomaly,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Log-Dominant,avg_proportion_anomaly,Anomaly proportion,0.112068383804
rq3|Gleaner Log-Dominant|avg_path_coverage_dedup,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Log-Dominant,avg_path_coverage_dedup,Path coverage,0.887982583741
rq3|Gleaner Log-Dominant|avg_benefit_cost_ratio,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Log-Dominant,avg_benefit_cost_ratio,Benefit-cost ratio,0.818132303461
rq3|Gleaner Pure Diversity|avg_api_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Pure Diversity,avg_api_coverage,API coverage,0.807686335404
rq3|Gleaner Pure Diversity|avg_unique_trace_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Pure Diversity,avg_unique_trace_coverage,Unique trace coverage,0.182287993933
rq3|Gleaner Pure Diversity|avg_shannon_entropy,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Pure Diversity,avg_shannon_entropy,Shannon entropy,6.72269721354
rq3|Gleaner Pure Diversity|avg_proportion_anomaly,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Pure Diversity,avg_proportion_anomaly,Anomaly proportion,0.0176477242004
rq3|Gleaner Pure Diversity|avg_path_coverage_dedup,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Pure Diversity,avg_path_coverage_dedup,Path coverage,0.660108219465
rq3|Gleaner Pure Diversity|avg_benefit_cost_ratio,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Pure Diversity,avg_benefit_cost_ratio,Benefit-cost ratio,0.575129045152
rq3|Gleaner Top Score|avg_api_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Top Score,avg_api_coverage,API coverage,0.479477225673
rq3|Gleaner Top Score|avg_unique_trace_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Top Score,avg_unique_trace_coverage,Unique trace coverage,0.2274722631
rq3|Gleaner Top Score|avg_shannon_entropy,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Top Score,avg_shannon_entropy,Shannon entropy,7.59404538592
rq3|Gleaner Top Score|avg_proportion_anomaly,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Top Score,avg_proportion_anomaly,Anomaly proportion,0.144555014308
rq3|Gleaner Top Score|avg_path_coverage_dedup,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Top Score,avg_path_coverage_dedup,Path coverage,0.519908229057
rq3|Gleaner Top Score|avg_benefit_cost_ratio,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner Top Score,avg_benefit_cost_ratio,Benefit-cost ratio,0.869003893479
rq3|Gleaner WL Kernel|avg_api_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner WL Kernel,avg_api_coverage,API coverage,0.996717955957
rq3|Gleaner WL Kernel|avg_unique_trace_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner WL Kernel,avg_unique_trace_coverage,Unique trace coverage,0.18737595946
rq3|Gleaner WL Kernel|avg_shannon_entropy,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner WL Kernel,avg_shannon_entropy,Shannon entropy,7.16229414853
rq3|Gleaner WL Kernel|avg_proportion_anomaly,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner WL Kernel,avg_proportion_anomaly,Anomaly proportion,0.0980662972409
rq3|Gleaner WL Kernel|avg_path_coverage_dedup,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner WL Kernel,avg_path_coverage_dedup,Path coverage,0.895837045983
rq3|Gleaner WL Kernel|avg_benefit_cost_ratio,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner WL Kernel,avg_benefit_cost_ratio,Benefit-cost ratio,0.764101943345
rq3|Gleaner w/o AD|avg_api_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o AD,avg_api_coverage,API coverage,0.993330039526
rq3|Gleaner w/o AD|avg_unique_trace_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o AD,avg_unique_trace_coverage,Unique trace coverage,0.219316174149
rq3|Gleaner w/o AD|avg_shannon_entropy,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o AD,avg_shannon_entropy,Shannon entropy,7.5132981155
rq3|Gleaner w/o AD|avg_proportion_anomaly,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o AD,avg_proportion_anomaly,Anomaly proportion,0.0713908725855
rq3|Gleaner w/o AD|avg_path_coverage_dedup,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o AD,avg_path_coverage_dedup,Path coverage,0.894389087627
rq3|Gleaner w/o AD|avg_benefit_cost_ratio,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o AD,avg_benefit_cost_ratio,Benefit-cost ratio,0.831225909705
rq3|Gleaner w/o DPP|avg_api_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o DPP,avg_api_coverage,API coverage,0.996576792772
rq3|Gleaner w/o DPP|avg_unique_trace_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o DPP,avg_unique_trace_coverage,Unique trace coverage,0.191684312994
rq3|Gleaner w/o DPP|avg_shannon_entropy,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o DPP,avg_shannon_entropy,Shannon entropy,7.25037466026
