row_id,rq,paper_mapping,item,metric,metric_label,value
rq4|gleaner_latency_dominate|avg_runtime_per_trace_ms,rq4,"Paper RQ4: Efficiency Analysis (Table 8, Finding 4)",gleaner_latency_dominate,avg_runtime_per_trace_ms,Runtime / trace (ms),1.14097468611
rq4|gleaner_latency_dominate|avg_benefit_cost_ratio,rq4,"Paper RQ4: Efficiency Analysis (Table 8, Finding 4)",gleaner_latency_dominate,avg_benefit_cost_ratio,Benefit-cost ratio,0.73232178996
rq4|gleaner_latency_dominate|avg_actual_sampling_rate,rq4,"Paper RQ4: Efficiency Analysis (Table 8, Finding 4)",gleaner_latency_dominate,avg_actual_sampling_rate,Actual sampling rate,0.100039735581
rq4|gleaner_latency_dominate|avg_controllability,rq4,"Paper RQ4: Efficiency Analysis (Table 8, Finding 4)",gleaner_latency_dominate,avg_controllability,Controllability,0.00100500452732
rq4|gleaner_log_dominate|avg_runtime_per_trace_ms,rq4,"Paper RQ4: Efficiency Analysis (Table 8, Finding 4)",gleaner_log_dominate,avg_runtime_per_trace_ms,Runtime / trace (ms),1.15927003243
rq4|gleaner_log_dominate|avg_benefit_cost_ratio,rq4,"Paper RQ4: Efficiency Analysis (Table 8, Finding 4)",gleaner_log_dominate,avg_benefit_cost_ratio,Benefit-cost ratio,0.736519187961
rq4|gleaner_log_dominate|avg_actual_sampling_rate,rq4,"Paper RQ4: Efficiency Analysis (Table 8, Finding 4)",gleaner_log_dominate,avg_actual_sampling_rate,Actual sampling rate,0.100039735581
rq4|gleaner_log_dominate|avg_controllability,rq4,"Paper RQ4: Efficiency Analysis (Table 8, Finding 4)",gleaner_log_dominate,avg_controllability,Controllability,0.00100500452732
rq4|gleaner_no_ad|avg_runtime_per_trace_ms,rq4,"Paper RQ4: Efficiency Analysis (Table 8, Finding 4)",gleaner_no_ad,avg_runtime_per_trace_ms,Runtime / trace (ms),12.4984875186
rq4|gleaner_no_ad|avg_benefit_cost_ratio,rq4,"Paper RQ4: Efficiency Analysis (Table 8, Finding 4)",gleaner_no_ad,avg_benefit_cost_ratio,Benefit-cost ratio,0.752224086417
rq4|gleaner_no_ad|avg_actual_sampling_rate,rq4,"Paper RQ4: Efficiency Analysis (Table 8, Finding 4)",gleaner_no_ad,avg_actual_sampling_rate,Actual sampling rate,0.0998978413963
