sampler,display_name,sample_rate_count,datapack_count,avg_api_coverage,avg_path_coverage_dedup,avg_event_coverage,avg_unique_trace_coverage,avg_shannon_entropy,avg_proportion_anomaly,avg_gt_trace_proportion
gleaner_latency_dominate,Gleaner Latency-Dominant,2,20,0.9540719696969697,0.843849854316062,0.8440904999868808,0.20854512000430403,6.716740108263917,0.12605053466152907,0.2465420540154386
gleaner_log_dominate,Gleaner Log-Dominant,2,20,0.9540719696969697,0.8392166525505074,0.8430524374066117,0.2092365716189106,6.7206376833380475,0.12605053466152907,0.24872657843449208
gleaner_no_ad,Gleaner w/o AD,2,20,0.9497159090909091,0.82444120308482,0.8458987374191418,0.2098745013071125,6.7418150266308245,0.09236511481566023,0.23302390536604273
gleaner_no_dpp,Gleaner w/o DPP,2,20,0.9756628787878787,0.8036249115238476,0.8475509416623223,0.19256790300731993,6.633978357490863,0.11531963236485547,0.24251467621331835
gleaner_no_logs,Gleaner w/o Logs,2,20,0.9599431818181817,0.8399912324349119,0.8413859113714681,0.20570516101745392,6.7094324909174485,0.12784680854995265,0.2533476370083988
gleaner_no_logs_no_ad,Gleaner w/o Logs + AD,2,20,0.9620265151515152,0.8537181228373343,0.8425208479982582,0.19747025242069655,6.657129903964874,0.09813844457830381,0.228330858977268
gleaner_no_rebalance,Gleaner w/o Rebalance,2,20,0.977840909090909,0.8577123668049825,0.8495193286306189,0.21506150056190193,6.786947312278725,0.10896130492863111,0.2537336671551371
gleaner_pure_diversity,Gleaner Pure Diversity,2,20,0.7876893939393939,0.6616711660094012,0.6321249400458684,0.18492054456517593,6.208362740626763,0.0210318868472774,0.08810050846743556
gleaner_top_score,Gleaner Top Score,2,20,0.4616477272727273,0.49128386737272844,0.6057847022621294,0.2194974335921732,6.846765698639627,0.21718227864351783,0.46354663008366115
gleaner_wl_kernel,Gleaner WL Kernel,2,20,0.9767992424242424,0.8571522285007891,0.8373561658659958,0.18699285652713868,6.541513287061225,0.10756602610229601,0.25504372273631803
