row_key,algorithm,sampler_name,sampler_rate,row_count,ac_at_1_mean,ac_at_3_mean
microrca|gleaner_latency_dominate|0.010,microrca,gleaner_latency_dominate,0.010,1,0.3500,0.3500
microrca|gleaner_latency_dominate|0.100,microrca,gleaner_latency_dominate,0.100,1,0.3500,0.4000
microrca|gleaner_log_dominate|0.010,microrca,gleaner_log_dominate,0.010,1,0.3500,0.3500
microrca|gleaner_log_dominate|0.100,microrca,gleaner_log_dominate,0.100,1,0.3500,0.4000
microrca|gleaner_no_ad|0.010,microrca,gleaner_no_ad,0.010,1,0.3500,0.3500
microrca|gleaner_no_ad|0.100,microrca,gleaner_no_ad,0.100,1,0.3500,0.4000
microrca|gleaner_no_dpp|0.010,microrca,gleaner_no_dpp,0.010,1,0.3500,0.4000
microrca|gleaner_no_dpp|0.100,microrca,gleaner_no_dpp,0.100,1,0.3500,0.4000
microrca|gleaner_no_logs|0.010,microrca,gleaner_no_logs,0.010,1,0.3500,0.3500
microrca|gleaner_no_logs|0.100,microrca,gleaner_no_logs,0.100,1,0.3500,0.4000
microrca|gleaner_no_logs_no_ad|0.010,microrca,gleaner_no_logs_no_ad,0.010,1,0.3500,0.3500
microrca|gleaner_no_logs_no_ad|0.100,microrca,gleaner_no_logs_no_ad,0.100,1,0.3500,0.4000
microrca|gleaner_no_rebalance|0.010,microrca,gleaner_no_rebalance,0.010,1,0.3500,0.3500
microrca|gleaner_no_rebalance|0.100,microrca,gleaner_no_rebalance,0.100,1,0.3500,0.4000
microrca|gleaner_pure_diversity|0.010,microrca,gleaner_pure_diversity,0.010,1,0.1500,0.2000
microrca|gleaner_pure_diversity|0.100,microrca,gleaner_pure_diversity,0.100,1,0.3500,0.3500
microrca|gleaner_top_score|0.010,microrca,gleaner_top_score,0.010,1,0.2500,0.3500
microrca|gleaner_top_score|0.100,microrca,gleaner_top_score,0.100,1,0.3500,0.4500
microrca|gleaner_wl_kernel|0.010,microrca,gleaner_wl_kernel,0.010,1,0.3500,0.3500
microrca|gleaner_wl_kernel|0.100,microrca,gleaner_wl_kernel,0.100,1,0.3500,0.4000
nezha|gleaner_anomaly_pure_diversity|0.010,nezha,gleaner_anomaly_pure_diversity,0.010,1,0.1000,0.2000
nezha|gleaner_anomaly_pure_diversity|0.100,nezha,gleaner_anomaly_pure_diversity,0.100,1,0.0500,0.1500
nezha|gleaner_latency_dominate|0.010,nezha,gleaner_latency_dominate,0.010,1,0.1000,0.3000
nezha|gleaner_latency_dominate|0.100,nezha,gleaner_latency_dominate,0.100,1,0.1500,0.2500
nezha|gleaner_log_dominate|0.010,nezha,gleaner_log_dominate,0.010,1,0.1500,0.3000
nezha|gleaner_log_dominate|0.100,nezha,gleaner_log_dominate,0.100,1,0.1000,0.2000
nezha|gleaner_no_ad|0.010,nezha,gleaner_no_ad,0.010,1,0.1500,0.4000
nezha|gleaner_no_ad|0.100,nezha,gleaner_no_ad,0.100,1,0.1000,0.1000
nezha|gleaner_no_dpp|0.010,nezha,gleaner_no_dpp,0.010,1,0.0500,0.1500
nezha|gleaner_no_dpp|0.100,nezha,gleaner_no_dpp,0.100,1,0.1000,0.3000
nezha|gleaner_no_logs|0.010,nezha,gleaner_no_logs,0.010,1,0.2000,0.4000
nezha|gleaner_no_logs|0.100,nezha,gleaner_no_logs,0.100,1,0.1000,0.1500
nezha|gleaner_no_logs_no_ad|0.010,nezha,gleaner_no_logs_no_ad,0.010,1,0.1500,0.4500
nezha|gleaner_no_logs_no_ad|0.100,nezha,gleaner_no_logs_no_ad,0.100,1,0.1000,0.2500
nezha|gleaner_no_rebalance|0.010,nezha,gleaner_no_rebalance,0.010,1,0.0500,0.4000
nezha|gleaner_no_rebalance|0.100,nezha,gleaner_no_rebalance,0.100,1,0.2000,0.2000
nezha|gleaner_pure_diversity|0.010,nezha,gleaner_pure_diversity,0.010,1,0.0500,0.1000
nezha|gleaner_pure_diversity|0.100,nezha,gleaner_pure_diversity,0.100,1,0.1000,0.2000
nezha|gleaner_top_score|0.010,nezha,gleaner_top_score,0.010,1,0.0000,0.1500
nezha|gleaner_top_score|0.100,nezha,gleaner_top_score,0.100,1,0.1500,0.2500
nezha|gleaner_wl_kernel|0.010,nezha,gleaner_wl_kernel,0.010,1,0.0500,0.1500
nezha|gleaner_wl_kernel|0.100,nezha,gleaner_wl_kernel,0.100,1,0.1000,0.1500
shapleyiq|gleaner_anomaly_pure_diversity|0.010,shapleyiq,gleaner_anomaly_pure_diversity,0.010,1,0.5500,0.7000
shapleyiq|gleaner_anomaly_pure_diversity|0.100,shapleyiq,gleaner_anomaly_pure_diversity,0.100,1,0.4500,0.6000
shapleyiq|gleaner_latency_dominate|0.010,shapleyiq,gleaner_latency_dominate,0.010,1,0.4500,0.7000
shapleyiq|gleaner_latency_dominate|0.100,shapleyiq,gleaner_latency_dominate,0.100,1,0.4500,0.6000
shapleyiq|gleaner_log_dominate|0.010,shapleyiq,gleaner_log_dominate,0.010,1,0.4500,0.7000
shapleyiq|gleaner_log_dominate|0.100,shapleyiq,gleaner_log_dominate,0.100,1,0.4500,0.6000
shapleyiq|gleaner_no_ad|0.010,shapleyiq,gleaner_no_ad,0.010,1,0.4500,0.7000
shapleyiq|gleaner_no_ad|0.100,shapleyiq,gleaner_no_ad,0.100,1,0.4500,0.5500
shapleyiq|gleaner_no_dpp|0.010,shapleyiq,gleaner_no_dpp,0.010,1,0.4000,0.5500
shapleyiq|gleaner_no_dpp|0.100,shapleyiq,gleaner_no_dpp,0.100,1,0.4500,0.6000
shapleyiq|gleaner_no_logs|0.010,shapleyiq,gleaner_no_logs,0.010,1,0.5000,0.6500
shapleyiq|gleaner_no_logs|0.100,shapleyiq,gleaner_no_logs,0.100,1,0.4500,0.6000
shapleyiq|gleaner_no_logs_no_ad|0.010,shapleyiq,gleaner_no_logs_no_ad,0.010,1,0.4500,0.6000
shapleyiq|gleaner_no_logs_no_ad|0.100,shapleyiq,gleaner_no_logs_no_ad,0.100,1,0.4500,0.6000
shapleyiq|gleaner_no_rebalance|0.010,shapleyiq,gleaner_no_rebalance,0.010,1,0.4500,0.6500
shapleyiq|gleaner_no_rebalance|0.100,shapleyiq,gleaner_no_rebalance,0.100,1,0.4500,0.6000
shapleyiq|gleaner_pure_diversity|0.010,shapleyiq,gleaner_pure_diversity,0.010,1,0.0500,0.2000
shapleyiq|gleaner_pure_diversity|0.100,shapleyiq,gleaner_pure_diversity,0.100,1,0.4000,0.4500
shapleyiq|gleaner_top_score|0.010,shapleyiq,gleaner_top_score,0.010,1,0.3500,0.5000
shapleyiq|gleaner_top_score|0.100,shapleyiq,gleaner_top_score,0.100,1,0.4500,0.6000
shapleyiq|gleaner_wl_kernel|0.010,shapleyiq,gleaner_wl_kernel,0.010,1,0.4500,0.6500
shapleyiq|gleaner_wl_kernel|0.100,shapleyiq,gleaner_wl_kernel,0.100,1,0.4500,0.5500
